
=== Top 50 Cumulative Time Entries ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: cumulative time
   List reduced from 2757 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/key_binding/defaults.py:34(load_key_bindings)
        1    0.000    0.000    0.010    0.010 /Users/tombedor/development/elroy/elroy/cli/ui.py:10(print_memory_panel)
      113    0.000    0.000    0.010    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/toolz/functoolz.py:310(_should_curry)
     10/8    0.000    0.000    0.010    0.001 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/base.py:659(create_for_statement)
        6    0.000    0.000    0.009    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/context.py:1019(create_for_statement)
  476/378    0.001    0.000    0.008    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1254(__get__)
        4    0.000    0.000    0.008    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/event/attr.py:468(_exec_w_sync_on_first_run)
        4    0.000    0.000    0.008    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/event/attr.py:491(__call__)
        1    0.000    0.000    0.008    0.008 /Users/tombedor/development/elroy/elroy/io/cli.py:134(update_completer)
  454/230    0.000    0.000    0.007    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/toolz/functoolz.py:825(_check_sigspec)
        6    0.000    0.000    0.007    0.001 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/context.py:2545(to_compile_state)
        6    0.000    0.000    0.007    0.001 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/context.py:2634(__init__)
